Date,Model,Actual,Predicted,Probability
2021-12-05,Logistic Regression,1,0,0.4507912016545175
2021-12-06,Logistic Regression,1,0,0.4419088165899888
2021-12-10,Logistic Regression,1,1,0.5378242884704214
2021-12-11,Logistic Regression,0,1,0.5326191999026332
2021-12-11,Logistic Regression,0,1,0.7879211191288473
2021-12-11,Logistic Regression,1,1,0.5202190755266919
2021-12-11,Logistic Regression,0,1,0.7761927582754946
2021-12-11,Logistic Regression,1,0,0.4762415648979122
2021-12-12,Logistic Regression,0,0,0.3371725506080456
2021-12-12,Logistic Regression,1,1,0.5627553523282238
2021-12-12,Logistic Regression,1,1,0.5098633465980767
2021-12-14,Logistic Regression,1,1,0.7542105625706453
2021-12-14,Logistic Regression,0,0,0.265603369653944
2021-12-15,Logistic Regression,1,0,0.3672518448723474
2021-12-15,Logistic Regression,0,1,0.764069000116154
2021-12-15,Logistic Regression,0,1,0.6947313665428387
2021-12-16,Logistic Regression,0,0,0.37231693325177034
2021-12-16,Logistic Regression,1,0,0.4289711487350551
2021-12-18,Logistic Regression,1,1,0.6139862259507343
2021-12-19,Logistic Regression,1,1,0.7957150290441957
2021-12-19,Logistic Regression,0,1,0.5996281846253346
2021-12-19,Logistic Regression,1,1,0.8106799656696564
2021-12-26,Logistic Regression,0,0,0.33362540265547874
2021-12-26,Logistic Regression,1,0,0.45237394676692194
2021-12-26,Logistic Regression,1,0,0.2173689805931382
2021-12-26,Logistic Regression,1,1,0.5211402639520156
2021-12-26,Logistic Regression,1,1,0.8045559167300851
2021-12-26,Logistic Regression,1,1,0.5842895216067544
2021-12-27,Logistic Regression,0,1,0.5160470953721732
2021-12-28,Logistic Regression,1,0,0.37984087279183765
2021-12-28,Logistic Regression,0,1,0.8778634841139352
2021-12-28,Logistic Regression,1,1,0.5189079511276786
2021-12-28,Logistic Regression,0,0,0.49568073340636826
2021-12-29,Logistic Regression,0,1,0.5735565404538568
2021-12-29,Logistic Regression,0,0,0.353719794461766
2021-12-30,Logistic Regression,1,0,0.33311073733019814
2022-01-01,Logistic Regression,1,1,0.810358132012513
2022-01-01,Logistic Regression,0,0,0.11373113741002697
2022-01-01,Logistic Regression,1,1,0.5083600212063346
2022-01-02,Logistic Regression,1,1,0.6251883254856404
2022-01-02,Logistic Regression,1,1,0.6368558494624781
2022-01-02,Logistic Regression,1,0,0.4638969227332528
2022-01-02,Logistic Regression,1,0,0.29294380874623044
2022-01-03,Logistic Regression,0,0,0.3155006943923226
2022-01-11,Logistic Regression,1,1,0.6292881367356452
